;REPORTE SEMANAL COMIDA RAPIDA,,,,,,,
;Filtro:(Fecha Venta  Between  9/11/2020 AND 15/11/2020)  AND (Departamento  = COMIDA RAPIDA) ,,,,,,,
Article Description,Category,Departament,Date of Sale,Sold Quantity,Total Sales,Total (Without Tax),Sale hour
En Total ,,,,3530.00,"L304,453.25","L277,871.31",
 CB 1MUSLO+REF16,,,,68.00,"L5,729.00","L4,981.74",
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 13:08:03,1,85,73.9131,13:08:03.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 13:16:32,1,85,73.9131,13:16:32.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 15:29:17,1,85,73.9131,15:29:17.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 16:24:46,1,85,73.9131,16:24:46.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 16:30:11,1,85,73.9131,16:30:11.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 17:03:21,1,85,73.9131,17:03:21.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,13/11/2020 19:00:15,1,85,73.9131,19:00:15.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 09:40:35,1,85,73.9131,09:40:35.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 10:45:39,1,85,73.9131,10:45:39.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 11:10:52,2,170,147.8261,11:10:52.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 11:26:01,1,68,59.1304,11:26:01.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 12:35:35,1,85,73.9131,12:35:35.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 12:57:54,1,85,73.9131,12:57:54.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 12:40:44,1,85,73.9131,12:40:44.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 14:11:33,1,85,73.9131,14:11:33.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 17:37:29,2,170,147.8261,17:37:29.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,9/11/2020 17:25:26,1,85,73.9131,17:25:26.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 07:54:14,1,85,73.9131,07:54:14.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 08:36:55,3,255,221.7391,08:36:55.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 12:10:29,1,85,73.9131,12:10:29.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 15:13:39,1,85,73.9131,15:13:39.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 15:40:19,5,425,369.5652,15:40:19.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 16:16:09,1,85,73.9131,16:16:09.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 18:14:29,1,85,73.9131,18:14:29.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 18:44:22,1,85,73.9131,18:44:22.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 19:22:12,1,85,73.9131,19:22:12.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,14/11/2020 19:11:29,1,85,73.9131,19:11:29.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 10:51:40,1,85,73.9131,10:51:40.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 12:33:38,1,85,73.9131,12:33:38.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 16:10:28,2,170,147.8261,16:10:28.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 18:09:56,1,85,73.9131,18:09:56.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,10/11/2020 17:56:32,2,170,147.8261,17:56:32.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 07:33:07,1,85,73.9131,07:33:07.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 09:18:27,1,85,73.9131,09:18:27.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 12:05:45,1,85,73.9131,12:05:45.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 12:13:37,1,85,73.9131,12:13:37.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 15:47:17,1,85,73.9131,15:47:17.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,11/11/2020 19:02:31,1,85,73.9131,19:02:31.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 09:52:22,2,170,147.8261,09:52:22.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 09:29:17,1,85,73.9131,09:29:17.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 09:22:02,1,85,73.9131,09:22:02.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 09:13:53,2,170,147.8261,09:13:53.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 13:01:11,1,85,73.9131,13:01:11.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,12/11/2020 14:59:47,2,170,147.8261,14:59:47.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,15/11/2020 16:08:21,1,85,73.9131,16:08:21.0000000
CB 1MUSLO+REF16,CB/POLLO,COMIDA RAPIDA,15/11/2020 18:04:39,1,85,73.9131,18:04:39.0000000
